,Title,Rank,Year,Duration,Gener,Rating,Director,Star1,Star2,Star3,Star4,Votes,Year obj,label
0,Arzoo,87,1950,128.0,Musical,7.0,Shaheed Latif,Kamini Kaushal,Dilip Kumar,Shashikala,Neelam,49,1950-1960,6.0
1,The Dancing Years,90,1950,98.0,Drama,6.2,Harold French,Dennis Price,Gisèle Préville,Patricia Dainton,Anthony Nicholls,61,1950-1960,6.0
2,Babul,76,1950,142.0,Drama,7.3,S.U. Sunny,Nargis,Dilip Kumar,Amar,A. Shah Shikarpuri,73,1950-1960,6.0
3,High Lonesome,63,1950,81.0,Western,5.4,Alan Le May,John Drew Barrymore,Chill Wills,John Archer,Lois Butler,201,1950-1960,6.0
4,The Desert Hawk,96,1950,77.0,Action,5.6,Frederick De Cordova,Yvonne De Carlo,Richard Greene,Jackie Gleason,George Macready,214,1950-1960,6.0
5,The Eagle and the Hawk,69,1950,104.0,Western,6.0,Lewis R. Foster,John Payne,Rhonda Fleming,Dennis O'Keefe,Thomas Gomez,242,1950-1960,6.0
6,This Side of the Law,83,1950,74.0,Drama,6.4,Richard L. Bare,Viveca Lindfors,Kent Smith,Janis Paige,Robert Douglas,270,1950-1960,6.0
7,Cudotvorni mac,75,1950,101.0,Fantasy,8.0,Vojislav Nanovic,Rade Markovic,Vera Ilic-Djukic,Milivoje Zivanovic,Marko Marinkovic,357,1950-1960,6.0
8,State Secret,20,1950,104.0,Drama,7.1,Sidney Gilliat,Douglas Fairbanks Jr.,Glynis Johns,Jack Hawkins,Walter Rilla,410,1950-1960,6.0
9,"So Young, So Bad",84,1950,91.0,Drama,6.2,Bernard Vorhaus,Edgar G. Ulmer,Paul Henreid,Catherine McLeod,Grace Coppin,481,1950-1960,6.0
10,Our Very Own,97,1950,93.0,Drama,6.7,David Miller,Ann Blyth,Farley Granger,Joan Evans,Jane Wyatt,564,1950-1960,6.0
11,A Ticket to Tomahawk,88,1950,90.0,Comedy,6.1,Richard Sale,Dan Dailey,Anne Baxter,Rory Calhoun,Walter Brennan,577,1950-1960,6.0
12,Edge of Doom,82,1950,99.0,Crime,6.4,Mark Robson,Dana Andrews,Farley Granger,Joan Evans,Robert Keith,596,1950-1960,6.0
13,Guilty Bystander,1,1950,91.0,Crime,6.1,Joseph Lerner,Zachary Scott,Faye Emerson,Mary Boland,Sam Levene,713,1950-1960,6.0
14,The Miniver Story,72,1950,104.0,Drama,6.4,H.C. Potter,Victor Saville,Greer Garson,Walter Pidgeon,John Hodiak,725,1950-1960,6.0
15,September Affair,66,1950,104.0,Drama,6.8,William Dieterle,Joan Fontaine,Joseph Cotten,Françoise Rosay,Jessica Tandy,737,1950-1960,6.0
16,Odette,98,1950,124.0,Drama,6.9,Herbert Wilcox,Anna Neagle,Trevor Howard,Marius Goring,Peter Ustinov,749,1950-1960,6.0
17,Two Flags West,45,1950,92.0,Drama,6.7,Robert Wise,Joseph Cotten,Linda Darnell,Jeff Chandler,Cornel Wilde,774,1950-1960,6.0
18,Two Weeks with Love,100,1950,90.0,Comedy,6.9,Roy Rowland,Jane Powell,Ricardo Montalban,Louis Calhern,Ann Harding,775,1950-1960,6.0
19,The Secret Fury,12,1950,85.0,Crime,6.7,Mel Ferrer,Claudette Colbert,Robert Ryan,Jane Cowl,Paul Kelly,801,1950-1960,6.0
20,Colt .45,35,1950,74.0,Western,6.0,Edwin L. Marin,Randolph Scott,Ruth Roman,Zachary Scott,Lloyd Bridges,847,1950-1960,6.0
21,Rocky Mountain,18,1950,83.0,Action,6.8,William Keighley,Errol Flynn,Patrice Wymore,Scott Forbes,Guinn 'Big Boy' Williams,994,1950-1960,6.0
22,American Guerrilla in the Philippines,93,1950,105.0,Drama,6.1,Fritz Lang,Tyrone Power,Micheline Presle,Tom Ewell,Robert Patten,1014,1950-1960,6.0
23,The Second Woman,89,1950,91.0,Drama,6.4,James V. Kern,Robert Young,Betsy Drake,John Sutton,Florence Bates,1052,1950-1960,6.0
24,Kansas Raiders,38,1950,80.0,Western,6.2,Ray Enright,Audie Murphy,Brian Donlevy,Marguerite Chapman,Scott Brady,1067,1950-1960,6.0
25,Chain Lightning,49,1950,94.0,Action,6.0,Stuart Heisler,Humphrey Bogart,Eleanor Parker,Raymond Massey,Richard Whorf,1146,1950-1960,6.0
26,Francis,95,1950,91.0,Comedy,6.5,Arthur Lubin,Donald O'Connor,Patricia Medina,Zasu Pitts,Ray Collins,1172,1950-1960,6.0
27,Borderline,92,1950,88.0,Crime,6.1,William A. Seiter,Fred MacMurray,Claire Trevor,Raymond Burr,José Torvay,1190,1950-1960,6.0
28,Dallas,25,1950,94.0,Romance,6.3,Stuart Heisler,Gary Cooper,Ruth Roman,Steve Cochran,Raymond Massey,1226,1950-1960,6.0
29,711 Ocean Drive,54,1950,102.0,Action,6.9,Joseph M. Newman,Edmond O'Brien,Joanne Dru,Otto Kruger,Barry Kelley,1305,1950-1960,6.0
30,The Killer That Stalked New York,13,1950,79.0,Drama,6.4,Earl McEvoy,Evelyn Keyes,Charles Korvin,William Bishop,Dorothy Malone,1390,1950-1960,6.0
31,The Big Lift,78,1950,120.0,Drama,6.5,George Seaton,Montgomery Clift,Paul Douglas,Cornell Borchers,Bruni Löbel,1437,1950-1960,6.0
32,Devil's Doorway,94,1950,84.0,Romance,7.2,Anthony Mann,Robert Taylor,Louis Calhern,Paula Raymond,Marshall Thompson,1446,1950-1960,6.0
33,The Sound of Fury,91,1950,91.0,Crime,7.2,Cy Endfield,Frank Lovejoy,Kathleen Ryan,Richard Carlson,Lloyd Bridges,1457,1950-1960,6.0
34,Last Holiday,80,1950,88.0,Comedy,7.4,Henry Cass,Alec Guinness,Beatrice Campbell,Kay Walsh,Grégoire Aslan,1574,1950-1960,6.0
35,Three Little Words,81,1950,102.0,Biography,7.0,Richard Thorpe,Fred Astaire,Vera-Ellen,Red Skelton,Arlene Dahl,1651,1950-1960,6.0
36,Harriet Craig,68,1950,94.0,Drama,7.3,Vincent Sherman,Joan Crawford,Wendell Corey,Lucile Watson,Allyn Joslyn,1664,1950-1960,6.0
37,The Blue Lamp,36,1950,84.0,Crime,6.9,Basil Dearden,Jack Warner,Dirk Bogarde,Jimmy Hanley,Robert Flemyng,1723,1950-1960,6.0
38,Three Came Home,79,1950,106.0,Drama,7.3,Jean Negulesco,Claudette Colbert,Patric Knowles,Florence Desmond,Sessue Hayakawa,1750,1950-1960,6.0
39,So Long at the Fair,85,1950,86.0,Drama,7.2,Antony Darnborough,Terence Fisher,Jean Simmons,Dirk Bogarde,David Tomlinson,1757,1950-1960,6.0
40,Tea for Two,39,1950,98.0,Comedy,6.5,David Butler,Doris Day,Gordon MacRae,Gene Nelson,Eve Arden,1760,1950-1960,6.0
41,Kim,60,1950,113.0,Adventure,6.6,Victor Saville,Errol Flynn,Dean Stockwell,Paul Lukas,Robert Douglas,1842,1950-1960,6.0
42,Kiss Tomorrow Goodbye,86,1950,102.0,Crime,7.1,Gordon Douglas,James Cagney,Barbara Payton,Helena Carter,Ward Bond,1849,1950-1960,6.0
43,Atoll K,70,1950,100.0,Comedy,5.6,Léo Joannon,John Berry,Alfred J. Goulding,Tim Whelan,Stan Laurel,1876,1950-1960,6.0
44,The Black Rose,71,1950,120.0,Adventure,6.3,Henry Hathaway,Tyrone Power,Orson Welles,Cécile Aubry,Jack Hawkins,1883,1950-1960,6.0
45,The Man Who Cheated Himself,47,1950,81.0,Crime,6.8,Felix E. Feist,Lee J. Cobb,Jane Wyatt,John Dall,Lisa Howard,1884,1950-1960,6.0
46,No Man of Her Own,51,1950,98.0,Drama,7.4,Mitchell Leisen,Barbara Stanwyck,John Lund,Jane Cowl,Phyllis Thaxter,1897,1950-1960,6.0
47,Stars in My Crown,73,1950,89.0,Drama,7.4,Jacques Tourneur,Joel McCrea,Ellen Drew,Dean Stockwell,Alan Hale,1973,1950-1960,6.0
48,Born to Be Bad,74,1950,94.0,Drama,6.7,Nicholas Ray,Mel Ferrer,Joan Fontaine,Robert Ryan,Zachary Scott,2052,1950-1960,6.0
49,Dark City,40,1950,98.0,Crime,6.7,William Dieterle,Charlton Heston,Lizabeth Scott,Viveca Lindfors,Dean Jagger,2131,1950-1960,6.0
50,Quicksand,57,1950,79.0,Crime,6.6,Irving Pichel,Mickey Rooney,Jeanne Cagney,Barbara Bates,Peter Lorre,2145,1950-1960,6.0
51,Union Station,58,1950,81.0,Crime,6.8,Rudolph Maté,William Holden,Nancy Olson,Barry Fitzgerald,Lyle Bettger,2318,1950-1960,6.0
52,Side Street,31,1950,83.0,Crime,7.1,Anthony Mann,Farley Granger,Cathy O'Donnell,James Craig,Paul Kelly,2596,1950-1960,6.0
53,The Damned Don't Cry,65,1950,103.0,Crime,7.1,Vincent Sherman,Joan Crawford,David Brian,Steve Cochran,Kent Smith,2621,1950-1960,6.0
54,Where Danger Lives,99,1950,82.0,Crime,6.8,John Farrow,Robert Mitchum,Claude Rains,Faith Domergue,Maureen O'Sullivan,2633,1950-1960,6.0
55,Mystery Street,62,1950,93.0,Crime,7.2,John Sturges,Ricardo Montalban,Sally Forrest,Bruce Bennett,Elsa Lanchester,2864,1950-1960,6.0
56,Luci del varietà,43,1950,97.0,Drama,7.1,Federico Fellini,Alberto Lattuada,Peppino De Filippo,Carla Del Poggio,Giulietta Masina,2993,1950-1960,6.0
57,The Furies,15,1950,109.0,Drama,7.3,Anthony Mann,Barbara Stanwyck,Wendell Corey,Walter Huston,Judith Anderson,2995,1950-1960,6.0
58,The Breaking Point,37,1950,97.0,Crime,7.5,Michael Curtiz,John Garfield,Patricia Neal,Phyllis Thaxter,Juano Hernandez,3026,1950-1960,6.0
59,Young Man with a Horn,48,1950,112.0,Biography,7.2,Michael Curtiz,Kirk Douglas,Lauren Bacall,Doris Day,Hoagy Carmichael,3124,1950-1960,6.0
60,House by the River,61,1950,83.0,Crime,7.1,Fritz Lang,Louis Hayward,Lee Bowman,Jane Wyatt,Dorothy Patrick,3157,1950-1960,6.0
61,Woman on the Run,33,1950,77.0,Crime,7.3,Norman Foster,Ann Sheridan,Dennis O'Keefe,Robert Keith,John Qualen,3308,1950-1960,6.0
62,"Francesco, giullare di Dio",77,1950,85.0,Biography,7.4,Roberto Rossellini,Aldo Fabrizi,Gianfranco Bellini,Peparuolo,Severino Pisacane,3338,1950-1960,6.0
63,The Flame and the Arrow,56,1950,88.0,Adventure,6.9,Jacques Tourneur,Burt Lancaster,Virginia Mayo,Robert Douglas,Aline MacMahon,3558,1950-1960,6.0
64,Caged,41,1950,96.0,Crime,7.7,John Cromwell,Eleanor Parker,Agnes Moorehead,Ellen Corby,Hope Emerson,3648,1950-1960,6.0
65,Shubun,55,1950,104.0,Drama,7.2,Akira Kurosawa,Toshirô Mifune,Shirley Yamaguchi,Yôko Katsuragi,Noriko Sengoku,3661,1950-1960,6.0
66,Les enfants terribles,50,1950,105.0,Drama,7.1,Jean-Pierre Melville,Nicole Stéphane,Edouard Dermithe,Renée Cosima,Jacques Bernard,3721,1950-1960,6.0
67,Cyrano de Bergerac,52,1950,113.0,Adventure,7.5,Michael Gordon,José Ferrer,Mala Powers,William Prince,Morris Carnovsky,3760,1950-1960,6.0
68,Destination Moon,53,1950,92.0,Adventure,6.3,Irving Pichel,John Archer,Warner Anderson,Tom Powers,Dick Wesson,3777,1950-1960,6.0
69,Whirlpool,64,1950,98.0,Crime,6.8,Otto Preminger,Gene Tierney,Richard Conte,José Ferrer,Charles Bickford,3813,1950-1960,6.0
70,Summer Stock,29,1950,108.0,Musical,7.2,Charles Walters,Judy Garland,Gene Kelly,Eddie Bracken,Gloria DeHaven,3849,1950-1960,6.0
71,The Men,27,1950,85.0,Drama,7.1,Fred Zinnemann,Marlon Brando,Teresa Wright,Everett Sloane,Jack Webb,4319,1950-1960,6.0
72,Wagon Master,67,1950,86.0,Adventure,7.1,John Ford,Ben Johnson,Joanne Dru,Harry Carey Jr.,Ward Bond,4471,1950-1960,6.0
73,Annie Get Your Gun,32,1950,107.0,Biography,6.9,George Sidney,Busby Berkeley,Betty Hutton,Howard Keel,Louis Calhern,4482,1950-1960,6.0
74,No Way Out,42,1950,106.0,Crime,7.4,Joseph L. Mankiewicz,Richard Widmark,Linda Darnell,Stephen McNally,Sidney Poitier,4607,1950-1960,6.0
75,Cheaper by the Dozen,26,1950,86.0,Comedy,7.0,Walter Lang,Clifton Webb,Myrna Loy,Jeanne Crain,Betty Lynn,4714,1950-1960,6.0
76,La ronde,59,1950,93.0,Drama,7.6,Max Ophüls,Anton Walbrook,Simone Signoret,Serge Reggiani,Simone Simon,5003,1950-1960,6.0
77,King Solomon's Mines,46,1950,103.0,Action,6.8,Compton Bennett,Andrew Marton,Deborah Kerr,Stewart Granger,Richard Carlson,5810,1950-1960,6.0
78,Stromboli (Terra di Dio),34,1950,107.0,Drama,7.3,Roberto Rossellini,Ingrid Bergman,Mario Vitale,Renzo Cesana,Mario Sponzo,6192,1950-1960,6.0
79,Panic in the Streets,44,1950,96.0,Crime,7.3,Elia Kazan,Richard Widmark,Paul Douglas,Barbara Bel Geddes,Jack Palance,7289,1950-1960,6.0
80,Treasure Island,14,1950,96.0,Adventure,6.9,Byron Haskin,Bobby Driscoll,Robert Newton,Basil Sydney,Walter Fitzgerald,7550,1950-1960,6.0
81,Broken Arrow,6,1950,93.0,Drama,7.2,Delmer Daves,James Stewart,Jeff Chandler,Debra Paget,Basil Ruysdael,7956,1950-1960,6.0
82,Where the Sidewalk Ends,30,1950,95.0,Crime,7.6,Otto Preminger,Dana Andrews,Gene Tierney,Gary Merrill,Bert Freed,8038,1950-1960,6.0
83,The Gunfighter,22,1950,85.0,Western,7.7,Henry King,Gregory Peck,Helen Westcott,Millard Mitchell,Jean Parker,10110,1950-1960,6.0
84,Born Yesterday,17,1950,103.0,Comedy,7.6,George Cukor,Judy Holliday,William Holden,Broderick Crawford,Howard St. John,10259,1950-1960,6.0
85,Father of the Bride,21,1950,92.0,Comedy,7.2,Vincente Minnelli,Spencer Tracy,Joan Bennett,Elizabeth Taylor,Don Taylor,10429,1950-1960,6.0
86,Orphée,23,1950,112.0,Fantasy,8.0,Jean Cocteau,Jean Marais,François Périer,María Casares,Marie Déa,11285,1950-1960,6.0
87,Gun Crazy,16,1950,87.0,Crime,7.6,Joseph H. Lewis,John Dall,Peggy Cummins,Berry Kroeger,Morris Carnovsky,12271,1950-1960,6.0
88,Night and the City,19,1950,101.0,Crime,7.9,Jules Dassin,Richard Widmark,Gene Tierney,Googie Withers,Hugh Marlowe,12382,1950-1960,6.0
89,Stage Fright,28,1950,110.0,Film-Noir,7.1,Alfred Hitchcock,Marlene Dietrich,Jane Wyman,Richard Todd,Michael Wilding,13128,1950-1960,6.0
90,Rio Grande,11,1950,105.0,Romance,7.1,John Ford,John Wayne,Maureen O'Hara,Ben Johnson,Claude Jarman Jr.,14903,1950-1960,6.0
91,Winchester '73,9,1950,92.0,Action,7.6,Anthony Mann,James Stewart,Shelley Winters,Dan Duryea,Stephen McNally,17220,1950-1960,6.0
92,Los olvidados,24,1950,85.0,Crime,8.3,Luis Buñuel,Alfonso Mejía,Roberto Cobo,Estela Inda,Miguel Inclán,18929,1950-1960,6.0
93,The Asphalt Jungle,8,1950,112.0,Crime,7.9,John Huston,Sterling Hayden,Louis Calhern,Jean Hagen,James Whitmore,24625,1950-1960,6.0
94,In a Lonely Place,7,1950,94.0,Drama,8.0,Nicholas Ray,Humphrey Bogart,Gloria Grahame,Frank Lovejoy,Carl Benton Reid,28032,1950-1960,6.0
95,Harvey,10,1950,104.0,Comedy,7.9,Henry Koster,James Stewart,Wallace Ford,William H. Lynn,Victoria Horne,53224,1950-1960,6.0
96,All About Eve,3,1950,138.0,Drama,8.2,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,123437,1950-1960,6.0
97,Cinderella,4,1950,74.0,Animation,7.3,Clyde Geronimi,Wilfred Jackson,Hamilton Luske,Ilene Woods,James MacDonald,149417,1950-1960,6.0
98,Rashomon,5,1950,88.0,Crime,8.2,Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura,156865,1950-1960,6.0
99,Sunset Blvd.,2,1950,110.0,Drama,8.4,Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,206886,1950-1960,6.0
100,Tarana,98,1951,87.0,Drama,7.1,Ram Daryani,Madhubala,Dilip Kumar,Shyama,Jeevan,136,1950-1960,6.0
101,Deedar,60,1951,130.0,Musical,7.5,Nitin Bose,Nargis,Ashok Kumar,Dilip Kumar,Nimmi,199,1950-1960,6.0
102,Lady Godiva Rides Again,67,1951,90.0,Comedy,5.8,Frank Launder,Dennis Price,John McCallum,Stanley Holloway,Pauline Stroud,293,1950-1960,6.0
103,Native Son,88,1951,104.0,Drama,6.1,Pierre Chenal,Richard Wright,Jean Wallace,Gloria Madison,Nicholas Joy,311,1950-1960,6.0
104,The Blue Veil,66,1951,113.0,Drama,7.1,Curtis Bernhardt,Busby Berkeley,Jane Wyman,Charles Laughton,Joan Blondell,343,1950-1960,6.0
105,The 13th Letter,86,1951,85.0,Film-Noir,6.4,Otto Preminger,Linda Darnell,Charles Boyer,Michael Rennie,Constance Smith,377,1950-1960,6.0
106,The Long Dark Hall,85,1951,86.0,Crime,6.2,Reginald Beck,Anthony Bushell,Rex Harrison,Lilli Palmer,Tania Heald,402,1950-1960,6.0
107,The Scarf,78,1951,93.0,Drama,6.7,Ewald André Dupont,John Ireland,Mercedes McCambridge,James Barton,Emlyn Williams,443,1950-1960,6.0
108,Teresa,93,1951,102.0,Drama,6.5,Fred Zinnemann,Pier Angeli,John Ericson,Patricia Collinge,Richard Bishop,603,1950-1960,6.0
109,Fort Worth,65,1951,80.0,Western,6.3,Edwin L. Marin,Randolph Scott,David Brian,Phyllis Thaxter,Helena Carter,623,1950-1960,6.0
110,Apache Drums,35,1951,76.0,Action,6.4,Hugo Fregonese,Stephen McNally,Coleen Gray,Willard Parker,Arthur Shields,648,1950-1960,6.0
111,Pathala Bhairavi,89,1951,192.0,Action,8.4,Kadiri Venkata Reddy,N.T. Rama Rao,S.V. Ranga Rao,Malathi K.,Seeta Rama Anjaneyulu Chilakalapudi,650,1950-1960,6.0
112,Tomahawk,81,1951,82.0,History,6.4,George Sherman,Van Heflin,Yvonne De Carlo,Alex Nicol,Preston Foster,793,1950-1960,6.0
113,Santa Fe,11,1951,87.0,Western,6.2,Irving Pichel,Randolph Scott,Janis Carter,Jerome Courtland,Peter M. Thompson,847,1950-1960,6.0
114,Bedtime for Bonzo,64,1951,83.0,Comedy,5.4,Frederick De Cordova,Ronald Reagan,Diana Lynn,Walter Slezak,Lucille Barkley,901,1950-1960,6.0
115,The Secret of Convict Lake,59,1951,83.0,Western,6.9,Michael Gordon,Glenn Ford,Gene Tierney,Ethel Barrymore,Zachary Scott,909,1950-1960,6.0
116,Death of a Salesman,80,1951,115.0,Drama,7.2,Laslo Benedek,Fredric March,Mildred Dunnock,Kevin McCarthy,Cameron Mitchell,939,1950-1960,6.0
117,Outcast of the Islands,92,1951,102.0,Adventure,6.9,Carol Reed,Ralph Richardson,Trevor Howard,Robert Morley,Wendy Hiller,954,1950-1960,6.0
118,Flight to Mars,40,1951,72.0,Sci-Fi,5.2,Lesley Selander,Marguerite Chapman,Cameron Mitchell,Arthur Franz,Virginia Huston,970,1950-1960,6.0
119,Double Dynamite,54,1951,80.0,Adventure,5.9,Irving Cummings,Jane Russell,Groucho Marx,Frank Sinatra,Don McGuire,975,1950-1960,6.0
120,The Frogmen,15,1951,96.0,Adventure,6.6,Lloyd Bacon,Richard Widmark,Dana Andrews,Gary Merrill,Jeffrey Hunter,1115,1950-1960,6.0
121,Man in the Saddle,47,1951,87.0,Romance,6.3,André De Toth,Randolph Scott,Joan Leslie,Ellen Drew,Alexander Knox,1122,1950-1960,6.0
122,Let's Make It Legal,100,1951,,Comedy,6.2,Richard Sale,Claudette Colbert,Macdonald Carey,Zachary Scott,Barbara Bates,1128,1950-1960,6.0
123,Love Nest,45,1951,84.0,Comedy,6.2,Joseph M. Newman,June Haver,William Lundigan,Frank Fay,Marilyn Monroe,1181,1950-1960,6.0
124,The Great Caruso,62,1951,109.0,Biography,6.5,Richard Thorpe,Mario Lanza,Ann Blyth,Dorothy Kirsten,Jarmila Novotna,1200,1950-1960,6.0
125,Anne of the Indies,83,1951,81.0,Action,6.6,Jacques Tourneur,Jean Peters,Louis Jourdan,Debra Paget,Herbert Marshall,1222,1950-1960,6.0
126,The People Against O'Hara,94,1951,102.0,Crime,6.8,John Sturges,Spencer Tracy,Pat O'Brien,Diana Lynn,John Hodiak,1235,1950-1960,6.0
127,Go for Broke!,79,1951,92.0,Drama,6.7,Robert Pirosh,Van Johnson,Lane Nakano,George Miki,Akira Fukunaga,1303,1950-1960,6.0
128,Lost Continent,74,1951,83.0,Adventure,3.2,Sam Newfield,Cesar Romero,Hillary Brooke,Chick Chandler,John Hoyt,1329,1950-1960,6.0
129,Only the Valiant,76,1951,105.0,Adventure,6.5,Gordon Douglas,Gregory Peck,Barbara Payton,Ward Bond,Gig Young,1350,1950-1960,6.0
130,The Stooge,97,1951,100.0,Comedy,6.8,Norman Taurog,Dean Martin,Jerry Lewis,Polly Bergen,Marion Marshall,1371,1950-1960,6.0
131,The Mob,99,1951,77.0,Crime,7.0,Robert Parrish,Broderick Crawford,Betty Buehler,Richard Kiley,Otto Hulett,1554,1950-1960,6.0
132,The Mating Season,84,1951,101.0,Comedy,7.4,Mitchell Leisen,Gene Tierney,John Lund,Miriam Hopkins,Thelma Ritter,1619,1950-1960,6.0
133,Storm Warning,55,1951,93.0,Crime,7.1,Stuart Heisler,Ginger Rogers,Ronald Reagan,Doris Day,Steve Cochran,1701,1950-1960,6.0
134,Fixed Bayonets!,77,1951,92.0,Action,6.9,Samuel Fuller,Richard Basehart,Gene Evans,Michael O'Shea,Richard Hylton,1764,1950-1960,6.0
135,Along the Great Divide,96,1951,88.0,Western,6.8,Raoul Walsh,Kirk Douglas,Virginia Mayo,John Agar,Walter Brennan,1800,1950-1960,6.0
136,M,34,1951,88.0,Drama,6.8,Joseph Losey,David Wayne,Howard Da Silva,Martin Gabel,Luther Adler,1831,1950-1960,6.0
137,Distant Drums,73,1951,101.0,Western,6.5,Raoul Walsh,Gary Cooper,Mari Aldon,Richard Webb,Ray Teal,1831,1950-1960,6.0
138,Superman and the Mole-Men,58,1951,58.0,Action,5.7,Lee Sholem,George Reeves,Phyllis Coates,Jeff Corey,Walter Reed,1833,1950-1960,6.0
139,Cause for Alarm!,70,1951,74.0,Crime,6.5,Tay Garnett,Loretta Young,Barry Sullivan,Bruce Cowling,Margalo Gillmore,1855,1950-1960,6.0
140,Across the Wide Missouri,95,1951,78.0,Adventure,6.2,William A. Wellman,Clark Gable,Ricardo Montalban,John Hodiak,Adolphe Menjou,1888,1950-1960,6.0
141,Jim Thorpe -- All-American,87,1951,107.0,Biography,6.9,Michael Curtiz,Burt Lancaster,Charles Bickford,Steve Cochran,Phyllis Thaxter,1902,1950-1960,6.0
142,Sirocco,38,1951,98.0,Action,6.3,Curtis Bernhardt,Humphrey Bogart,Lee J. Cobb,Märta Torén,Everett Sloane,2017,1950-1960,6.0
143,Vengeance Valley,69,1951,83.0,Western,5.9,Richard Thorpe,Burt Lancaster,Robert Walker,Joanne Dru,Sally Forrest,2030,1950-1960,6.0
144,He Ran All the Way,21,1951,77.0,Crime,7.0,John Berry,John Garfield,Shelley Winters,Wallace Ford,Selena Royle,2163,1950-1960,6.0
145,Angels in the Outfield,51,1951,99.0,Comedy,7.1,Clarence Brown,Paul Douglas,Janet Leigh,Keenan Wynn,Donna Corcoran,2191,1950-1960,6.0
146,Cry Danger,68,1951,79.0,Crime,7.3,Robert Parrish,Dick Powell,Dick Powell,Rhonda Fleming,Richard Erdman,2200,1950-1960,6.0
147,Fourteen Hours,30,1951,92.0,Drama,7.1,Henry Hathaway,Paul Douglas,Richard Basehart,Barbara Bel Geddes,Debra Paget,2376,1950-1960,6.0
148,Another Man's Poison,44,1951,90.0,Crime,6.9,Irving Rapper,Bette Davis,Gary Merrill,Emlyn Williams,Anthony Steel,2438,1950-1960,6.0
149,On Moonlight Bay,56,1951,95.0,Comedy,7.0,Roy Del Ruth,Doris Day,Gordon MacRae,Jack Smith,Leon Ames,2456,1950-1960,6.0
150,Rawhide,43,1951,89.0,Drama,7.1,Henry Hathaway,Tyrone Power,Susan Hayward,Hugh Marlowe,Dean Jagger,2477,1950-1960,6.0
151,Decision Before Dawn,25,1951,119.0,Drama,7.2,Anatole Litvak,Richard Basehart,Gary Merrill,Oskar Werner,Hildegard Knef,2487,1950-1960,6.0
152,The Man from Planet X,82,1951,71.0,Horror,5.8,Edgar G. Ulmer,Robert Clarke,Margaret Field,Raymond Bond,William Schallert,2492,1950-1960,6.0
153,Halls of Montezuma,72,1951,113.0,Action,6.6,Lewis Milestone,Richard Widmark,Jack Palance,Reginald Gardiner,Robert Wagner,2504,1950-1960,6.0
154,The House on Telegraph Hill,57,1951,93.0,Crime,6.9,Robert Wise,Richard Basehart,Valentina Cortese,William Lundigan,Fay Baker,2742,1950-1960,6.0
155,The Racket,71,1951,88.0,Crime,6.7,John Cromwell,Mel Ferrer,Tay Garnett,Nicholas Ray,Sherman Todd,2808,1950-1960,6.0
156,Westward the Women,53,1951,118.0,Adventure,7.6,William A. Wellman,Robert Taylor,Denise Darcel,Hope Emerson,John McIntire,2865,1950-1960,6.0
157,The Tales of Hoffmann,48,1951,133.0,Fantasy,7.2,Michael Powell,Emeric Pressburger,Moira Shearer,Robert Rounseville,Ludmilla Tchérina,3051,1950-1960,6.0
158,The Prowler,42,1951,92.0,Drama,7.2,Joseph Losey,Van Heflin,Evelyn Keyes,John Maxwell,Katherine Warren,3116,1950-1960,6.0
159,Operation Pacific,52,1951,111.0,Drama,6.7,George Waggner,John Wayne,Patricia Neal,Ward Bond,Scott Forbes,3289,1950-1960,6.0
160,No Highway,27,1951,99.0,Drama,7.2,Henry Koster,James Stewart,Marlene Dietrich,Glynis Johns,Jack Hawkins,3390,1950-1960,6.0
161,Father's Little Dividend,63,1951,82.0,Comedy,6.6,Vincente Minnelli,Spencer Tracy,Joan Bennett,Elizabeth Taylor,Don Taylor,3496,1950-1960,6.0
162,Pandora and the Flying Dutchman,24,1951,122.0,Drama,7.0,Albert Lewin,James Mason,Ava Gardner,Nigel Patrick,Sheila Sim,3550,1950-1960,6.0
163,Awaara,41,1951,193.0,Drama,7.9,Raj Kapoor,Raj Kapoor,Nargis,Prithviraj Kapoor,K.N. Singh,3839,1950-1960,6.0
164,The Steel Helmet,61,1951,85.0,Action,7.4,Samuel Fuller,Gene Evans,Robert Hutton,Steve Brodie,James Edwards,3962,1950-1960,6.0
165,His Kind of Woman,12,1951,120.0,Action,7.1,John Farrow,Richard Fleischer,Robert Mitchum,Jane Russell,Vincent Price,4042,1950-1960,6.0
166,The Red Badge of Courage,50,1951,69.0,Drama,7.2,John Huston,Audie Murphy,Bill Mauldin,Douglas Dick,Royal Dano,4156,1950-1960,6.0
167,Bellissima,90,1951,114.0,Comedy,7.8,Luchino Visconti,Anna Magnani,Walter Chiari,Tina Apicella,Gastone Renzelli,4248,1950-1960,6.0
168,The Browning Version,75,1951,90.0,Drama,8.2,Anthony Asquith,Michael Redgrave,Jean Kent,Nigel Patrick,Wilfrid Hyde-White,4502,1950-1960,6.0
169,The Enforcer,29,1951,87.0,Crime,7.3,Bretaigne Windust,Raoul Walsh,Humphrey Bogart,Zero Mostel,Ted de Corsia,4583,1950-1960,6.0
170,Show Boat,13,1951,108.0,Drama,6.9,George Sidney,Kathryn Grayson,Ava Gardner,Howard Keel,Joe E. Brown,4606,1950-1960,6.0
